year,value,country_iso3,country_name,indicator_code,indicator_name,country_name_full,region,income_group,currency,capital,date,decade
1960,1162.12266831735,DE,Germany,NY.GDP.PCAP.CD,GDP per capita (current US$),Germany,Western Europe,High income,Euro,Berlin,1960-01-01,1960
1961,1315.90787834504,DE,Germany,NY.GDP.PCAP.CD,GDP per capita (current US$),Germany,Western Europe,High income,Euro,Berlin,1961-01-01,1960
1962,1430.52095516263,DE,Germany,NY.GDP.PCAP.CD,GDP per capita (current US$),Germany,Western Europe,High income,Euro,Berlin,1962-01-01,1960
1963,1502.15452905146,DE,Germany,NY.GDP.PCAP.CD,GDP per capita (current US$),Germany,Western Europe,High income,Euro,Berlin,1963-01-01,1960
1964,1637.45522773672,DE,Germany,NY.GDP.PCAP.CD,GDP per capita (current US$),Germany,Western Europe,High income,Euro,Berlin,1964-01-01,1960
1965,1774.1986904555,DE,Germany,NY.GDP.PCAP.CD,GDP per capita (current US$),Germany,Western Europe,High income,Euro,Berlin,1965-01-01,1960
1966,1870.80540291774,DE,Germany,NY.GDP.PCAP.CD,GDP per capita (current US$),Germany,Western Europe,High income,Euro,Berlin,1966-01-01,1960
1967,1885.61596607874,DE,Germany,NY.GDP.PCAP.CD,GDP per capita (current US$),Germany,Western Europe,High income,Euro,Berlin,1967-01-01,1960
1968,2025.08159465853,DE,Germany,NY.GDP.PCAP.CD,GDP per capita (current US$),Germany,Western Europe,High income,Euro,Berlin,1968-01-01,1960
1969,2281.27598218229,DE,Germany,NY.GDP.PCAP.CD,GDP per capita (current US$),Germany,Western Europe,High income,Euro,Berlin,1969-01-01,1960
1970,2771.28310514754,DE,Germany,NY.GDP.PCAP.CD,GDP per capita (current US$),Germany,Western Europe,High income,Euro,Berlin,1970-01-01,1970
1971,3203.82884836051,DE,Germany,NY.GDP.PCAP.CD,GDP per capita (current US$),Germany,Western Europe,High income,Euro,Berlin,1971-01-01,1970
1972,3823.94032602696,DE,Germany,NY.GDP.PCAP.CD,GDP per capita (current US$),Germany,Western Europe,High income,Euro,Berlin,1972-01-01,1970
1973,5065.24523302283,DE,Germany,NY.GDP.PCAP.CD,GDP per capita (current US$),Germany,Western Europe,High income,Euro,Berlin,1973-01-01,1970
1974,5659.73787773336,DE,Germany,NY.GDP.PCAP.CD,GDP per capita (current US$),Germany,Western Europe,High income,Euro,Berlin,1974-01-01,1970
1975,6259.20744498342,DE,Germany,NY.GDP.PCAP.CD,GDP per capita (current US$),Germany,Western Europe,High income,Euro,Berlin,1975-01-01,1970
1976,6659.16546576017,DE,Germany,NY.GDP.PCAP.CD,GDP per capita (current US$),Germany,Western Europe,High income,Euro,Berlin,1976-01-01,1970
1977,7711.10232025365,DE,Germany,NY.GDP.PCAP.CD,GDP per capita (current US$),Germany,Western Europe,High income,Euro,Berlin,1977-01-01,1970
1978,9516.78283228907,DE,Germany,NY.GDP.PCAP.CD,GDP per capita (current US$),Germany,Western Europe,High income,Euro,Berlin,1978-01-01,1970
1979,11322.3543443813,DE,Germany,NY.GDP.PCAP.CD,GDP per capita (current US$),Germany,Western Europe,High income,Euro,Berlin,1979-01-01,1970
1980,12182.7800196802,DE,Germany,NY.GDP.PCAP.CD,GDP per capita (current US$),Germany,Western Europe,High income,Euro,Berlin,1980-01-01,1980
1981,10246.4767623188,DE,Germany,NY.GDP.PCAP.CD,GDP per capita (current US$),Germany,Western Europe,High income,Euro,Berlin,1981-01-01,1980
1982,9950.05926025365,DE,Germany,NY.GDP.PCAP.CD,GDP per capita (current US$),Germany,Western Europe,High income,Euro,Berlin,1982-01-01,1980
1983,9900.48559233526,DE,Germany,NY.GDP.PCAP.CD,GDP per capita (current US$),Germany,Western Europe,High income,Euro,Berlin,1983-01-01,1980
1984,9347.29068412377,DE,Germany,NY.GDP.PCAP.CD,GDP per capita (current US$),Germany,Western Europe,High income,Euro,Berlin,1984-01-01,1980
1985,9464.11694710857,DE,Germany,NY.GDP.PCAP.CD,GDP per capita (current US$),Germany,Western Europe,High income,Euro,Berlin,1985-01-01,1980
1986,13511.1520027486,DE,Germany,NY.GDP.PCAP.CD,GDP per capita (current US$),Germany,Western Europe,High income,Euro,Berlin,1986-01-01,1980
1987,16738.6132825523,DE,Germany,NY.GDP.PCAP.CD,GDP per capita (current US$),Germany,Western Europe,High income,Euro,Berlin,1987-01-01,1980
1988,17996.9783507619,DE,Germany,NY.GDP.PCAP.CD,GDP per capita (current US$),Germany,Western Europe,High income,Euro,Berlin,1988-01-01,1980
